point_key,point_id,level,mode,module,top_module,status,worker_id,elapsed_sec,area_um2,dynamic_power,leakage_power,total_power,report_dir,summary_log,failure_reason,ACT_WIDTH,KV_WIDTH,WEIGHT_WIDTH,T_BITS,L_BITS,T_EXP,T_MANT,L_EXP,L_MANT,BLOCK_DIM,ACC_DEPTH,MLEN,BLEN,scale_width,hier_total_area,hier_compute_unit_area,hier_reduce_area,hier_accum_area,hier_top_glue_area,_source_csv
matrix_machine_mxfp_1343362cf684,area_new_mm_mxfp_e1m2_m16_b4,matrix_machine,mxfp,matrix_machine,matrix_machine,complete,5,853.362,23426.779209,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/matrix_machine_mxfp_1343362cf684,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/matrix_machine_mxfp_1343362cf684/summary.log,,MXFP_E1M2,MXFP_E1M2,MXFP_E1M2,,,1,2,1,2,,,16,4,8,23426.7792,23067.3531,4893.427,0.0,359.4261000000006,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/calibration_points.csv
matrix_machine_mxfp_01dd800ae1e5,area_new_mm_mxfp_e2m1_m16_b4,matrix_machine,mxfp,matrix_machine,matrix_machine,complete,6,901.575,23063.095694,,,,Workspace/area_new_matrix_calibration/runs/matrix_small_20260706_013022/reports/matrix_machine_mxfp_01dd800ae1e5,Workspace/area_new_matrix_calibration/runs/matrix_small_20260706_013022/reports/matrix_machine_mxfp_01dd800ae1e5/summary.log,,MXFP_E2M1,MXFP_E2M1,MXFP_E2M1,,,2,1,2,1,,,16,4,8,23063.0957,22703.6695,4893.427,0.0,359.4262000000017,Workspace/area_new_matrix_calibration/runs/matrix_small_20260706_013022/calibration_points.csv
matrix_machine_mxfp_0d5778e1a575,area_new_mm_mxfp_e4m3_m16_b4,matrix_machine,mxfp,matrix_machine,matrix_machine,complete,1,1079.854,26132.302289,,,,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/matrix_machine_mxfp_0d5778e1a575,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/reports/matrix_machine_mxfp_0d5778e1a575/summary.log,,MXFP_E4M3,MXFP_E4M3,MXFP_E4M3,,,4,3,4,3,,,16,4,8,26132.3023,25681.9698,4893.6457,0.0,450.33250000000044,Workspace/area_new_matrix_calibration/runs/full_20260705_104426/calibration_points.csv
matrix_machine_mxfp_c539fff9f833,area_new_mm_mxfp_e5m2_m16_b4,matrix_machine,mxfp,matrix_machine,matrix_machine,complete,7,1028.797,25533.02055,,,,Workspace/area_new_matrix_calibration/runs/matrix_small_20260706_013022/reports/matrix_machine_mxfp_c539fff9f833,Workspace/area_new_matrix_calibration/runs/matrix_small_20260706_013022/reports/matrix_machine_mxfp_c539fff9f833/summary.log,,MXFP_E5M2,MXFP_E5M2,MXFP_E5M2,,,5,2,5,2,,,16,4,8,25533.0205,25082.6881,4893.427,0.0,450.3323999999993,Workspace/area_new_matrix_calibration/runs/matrix_small_20260706_013022/calibration_points.csv
matrix_machine_mxfp_ebfcab0fadc4,area_new_mm_mxfp_te1m2_le4m3_m16_b4,matrix_machine,mxfp,matrix_machine,matrix_machine,complete,9,1096.602,25335.66568,,,,Workspace/area_new_matrix_calibration/runs/matrix_small_20260706_013022/reports/matrix_machine_mxfp_ebfcab0fadc4,Workspace/area_new_matrix_calibration/runs/matrix_small_20260706_013022/reports/matrix_machine_mxfp_ebfcab0fadc4/summary.log,,MXFP_E4M3,MXFP_E1M2,MXFP_E1M2,,,1,2,4,3,,,16,4,8,25335.6657,24931.1144,4893.4708,0.0,404.5513000000028,Workspace/area_new_matrix_calibration/runs/matrix_small_20260706_013022/calibration_points.csv
matrix_machine_mxfp_5a8966795b9a,area_new_mm_mxfp_te4m3_le1m2_m16_b4,matrix_machine,mxfp,matrix_machine,matrix_machine,complete,8,1057.111,25285.845823,,,,Workspace/area_new_matrix_calibration/runs/matrix_small_20260706_013022/reports/matrix_machine_mxfp_5a8966795b9a,Workspace/area_new_matrix_calibration/runs/matrix_small_20260706_013022/reports/matrix_machine_mxfp_5a8966795b9a/summary.log,,MXFP_E1M2,MXFP_E4M3,MXFP_E4M3,,,4,3,1,2,,,16,4,8,25285.8458,24880.8134,4893.5582,0.0,405.03240000000005,Workspace/area_new_matrix_calibration/runs/matrix_small_20260706_013022/calibration_points.csv
matrix_machine_mxfp_57e3c78d2fe1,p1_mm_mxfp_e1m2_m32_b16,matrix_machine,mxfp,matrix_machine,matrix_machine,complete,7,60143.003,172332.244477,,,,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_d8a7abe33355cfdd,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_d8a7abe33355cfdd/summary.log,,MXFP_E1M2,MXFP_E1M2,MXFP_E1M2,,,1,2,1,2,,,32,16,8,172332.2445,171667.309,27686.472,0.0,664.9354999999923,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/calibration_points.csv
matrix_machine_mxfp_592dd2801ee6,p1_mm_mxfp_e4m3_m32_b16,matrix_machine,mxfp,matrix_machine,matrix_machine,complete,1,85354.889,192647.345513,,,,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_fd34f97bf53ed794,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_fd34f97bf53ed794/summary.log,,MXFP_E4M3,MXFP_E4M3,MXFP_E4M3,,,4,3,4,3,,,32,16,8,192647.3455,191800.1309,27689.1401,0.0,847.2146000000066,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/calibration_points.csv
matrix_machine_mxfp_7ba95e05eff5,p1_mm_mxfp_e5m2_m32_b16,matrix_machine,mxfp,matrix_machine,matrix_machine,complete,0,80285.13,187852.173059,,,,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_203f3ad9e0d7ffb6,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_203f3ad9e0d7ffb6/summary.log,,MXFP_E5M2,MXFP_E5M2,MXFP_E5M2,,,5,2,5,2,,,32,16,8,187852.1731,187004.9584,27686.472,0.0,847.2147000000114,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/calibration_points.csv
matrix_machine_mxfp_03ebfaac6683,p0_mm_mxfp_e1m2_m32_b8,matrix_machine,mxfp,matrix_machine,matrix_machine,complete,6,65698.731,91421.439446,,,,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_3ac3fd0d47f6ad78,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_3ac3fd0d47f6ad78/summary.log,,MXFP_E1M2,MXFP_E1M2,MXFP_E1M2,,,1,2,1,2,,,32,8,8,91421.4394,90744.0818,19572.3522,0.0,677.357600000003,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/calibration_points.csv
